0.0 3.3908675 2.340434
0.01 3.3920517 2.3403254
0.02 3.4037318 2.3387175
0.03 3.438403 2.3322928
0.04 3.5028877 2.3164072
0.05 3.596734 2.2840114
0.06 3.712087 2.2228532
0.07 3.8326564 2.1132631
0.08 3.937571 1.9248571
0.09 4.0090756 1.6021158
0.1 4.030922 1.0991231
0.11 4.021386 0.6329678
0.12 4.0216193 0.41396123
0.13 4.0261617 0.33472425
0.14 4.027799 0.3043499
0.15 4.0258636 0.29115507
0.16 4.021134 0.2847479
0.17 4.0143685 0.28135625
0.18 4.006103 0.27943856
0.19 3.9966908 0.2782909
0.2 3.9863596 0.27756023
0.21 3.9752567 0.2770565
0.22 3.9634776 0.27667147
0.23 3.9510837 0.27634114
0.24 3.938115 0.276026
0.25 3.9245965 0.2757013
0.26 3.9105458 0.27535087
0.27 3.8959727 0.2749642
0.28 3.8808837 0.27453429
0.29 3.8652825 0.2740563
0.3 3.8491716 0.27352706
0.31 3.832552 0.27294433
0.32 3.8154244 0.27230668
0.33 3.797789 0.27161306
0.34 3.7796466 0.27086288
0.35 3.760997 0.27005568
0.36 3.741841 0.2691913
0.37 3.72218 0.26826963
0.38 3.7020142 0.26729074
0.39 3.681346 0.26625478
0.4 3.6601772 0.265162
0.41 3.6385102 0.2640126
0.42 3.616348 0.262807
0.43 3.593694 0.26154566
0.44 3.5705519 0.26022902
0.45 3.5469265 0.2588576
0.46 3.5228226 0.2574321
0.47 3.4982457 0.25595316
0.48 3.4732022 0.2544215
0.49 3.4476984 0.25283796
0.5 3.421742 0.25120342
