3.95 0.0 -0.062442880000501355
3.95 0.01 -0.06246764000112892
3.95 0.02 -0.06254252000164018
3.95 0.03 -0.06266900000144704
3.95 0.04 -0.0628545600011684
3.95 0.05 -0.06312440000146824
3.95 0.06 -0.06352576000057086
3.95 0.07 -0.06419156000165814
3.95 0.08 -0.06550240000069395
3.95 0.09 -0.06597928000107132
3.95 0.1 -0.06258812000186043
3.95 0.11 -0.05982212000108479
3.95 0.12 -0.05876672000115737
3.95 0.13 -0.05858004000063279
3.95 0.14 -0.05882424000165334
3.95 0.15 -0.05932124000014273
3.95 0.16 -0.059993640001065565
3.95 0.17 -0.060804040000616795
3.95 0.18 -0.06173284000143798
3.95 0.19 -0.06276900000047514
3.95 0.2 -0.0639062400000686
3.95 0.21 -0.06514112000134596
3.95 0.22 -0.066471640000589
3.95 0.23 -0.0678969200005671
3.95 0.24 -0.06941712000129348
3.95 0.25 -0.07103264000066074
3.95 0.26 -0.07274440000089438
3.95 0.27 -0.07455380000068028
3.95 0.28 -0.07646220000083263
3.95 0.29 -0.07847128000150819
3.95 0.3 -0.08058284000141704
3.95 0.31 -0.08279892000074573
3.95 0.32 -0.08512124000033826
3.95 0.33 -0.0875520800010938
3.95 0.34 -0.0900933600010307
3.95 0.35 -0.0927472800010593
3.95 0.36 -0.0955159600006356
3.95 0.37 -0.09840124000062236
3.95 0.38 -0.1014052800004789
3.95 0.39 -0.10453008000038844
3.95 0.4 -0.1077773200019022
3.95 0.41 -0.11114884000090026
3.95 0.42 -0.11464640000109877
3.95 0.43 -0.11827144000046745
3.95 0.44 -0.12202528000054548
3.95 0.45 -0.12590920000073713
3.95 0.46 -0.12992432000040674
3.95 0.47 -0.13407128000033558
3.95 0.48 -0.13835084000057765
3.95 0.49 -0.14276340000044666
3.95 0.5 -0.14730892000066753
