0.06	0.0	3.009473917343329e-05	4.366855728220103e-06	9.726942247831238e-05	0.9017046603235319	
0.06	4e-05	3.022865691106983e-05	4.386075140026908e-06	9.758266383657648e-05	0.9060425445346818	
0.06	8e-05	3.0363508302678584e-05	4.405425638574957e-06	9.789747766010724e-05	0.9104123811291933	
0.06	0.00012	3.0499302370504737e-05	4.424908448610726e-06	9.821387498935627e-05	0.9148144906799205	
0.06	0.00016	3.063604824968257e-05	4.444524809522407e-06	9.85318669679102e-05	0.9192491978688546	
0.06	0.0002	3.077375518998587e-05	4.464275975554403e-06	9.885146484374468e-05	0.9237168315517228	
0.06	0.00024	3.091243255761141e-05	4.484163216025614e-06	9.917267997050031e-05	0.9282177248238215	
0.06	0.00028	3.1052089836995394e-05	4.504187815551503e-06	9.949552380877688e-05	0.9327522150870643	
0.06	0.00032	3.1192736632664266e-05	4.5243510742700845e-06	9.982000792744974e-05	0.9373206441183239	
0.06	0.00036	3.133438267111998e-05	4.54465430807187e-06	0.00010014614400500604	0.9419233581390347	
0.06	0.0004	3.14770378027613e-05	4.5650988488338605e-06	0.00010047394383090326	0.9465607078861428	
0.06	0.00044	3.1620712003841206e-05	4.585686044657699e-06	0.00010080341930694857	0.9512330486843901	
0.06	0.00048	3.176541537846142e-05	4.606417260112033e-06	0.00010113458244870179	0.9559407405199867	
0.06	0.00052	3.191115816060512e-05	4.627293876479166e-06	0.00010146744538689999	0.9606841481156972	
0.06	0.00056	3.20579507162085e-05	4.648317292006176e-06	0.00010180202036890625	0.9654636410073583	
0.06	0.0006	3.220580354527192e-05	4.669488922160432e-06	0.00010213831976018135	0.9702795936218824	
0.06	0.00064	3.2354727284011954e-05	4.690810199889768e-06	0.0001024763560457804	0.9751323853567697	
0.06	0.00068	3.2504732707054656e-05	4.712282575887314e-06	0.00010281614183187425	0.9800224006611569	
0.06	0.00072	3.2655830729671635e-05	4.733907518861093e-06	0.00010315768984729532	0.9849500291184479	
0.06	0.00076	3.2808032410059386e-05	4.755686515808513e-06	0.00010350101294511072	0.9899156655305512	
0.06	0.0008	3.296134895166315e-05	4.777621072295836e-06	0.00010384612410422022	0.9949197100037831	
0.06	0.00084	3.311579170554624e-05	4.799712712742744e-06	0.0001041930364309828	0.9999625680364428	
0.06	0.00088	3.327137217280607e-05	4.821962980712055e-06	0.00010454176316086966	1.0050446506081157	
0.06	0.00092	3.342810200703715e-05	4.844373439204844e-06	0.00010489231766014551	1.010166374270761	
0.06	0.00096	3.358599301684381e-05	4.866945670960875e-06	0.00010524471342757942	1.015328161241581	
0.06	0.001	3.374505716840163e-05	4.889681278764602e-06	0.00010559896409618471	1.0205304394977603	
0.06	0.00104	3.3905306588070844e-05	4.912581885756885e-06	0.00010595508343498844	1.025773642873087	
0.06	0.00108	3.4066753565061095e-05	4.9356491357524014e-06	0.00010631308535083314	1.0310582111565139	
0.06	0.00112	3.422941055415036e-05	4.9588846935629935e-06	0.00010667298389020841	1.0363845901927031	
0.06	0.00116	3.4393290178457815e-05	4.982290245327053e-06	0.00010703479324111566	1.0417532319845937	
0.06	0.0012	3.455840523227319e-05	5.005867498845054e-06	0.00010739852773496616	1.0471645947980506	
0.06	0.00124	3.472476868394327e-05	5.029618183921371e-06	0.00010776420184851207	1.0526191432686383	
0.06	0.00128	3.489239367881676e-05	5.0535440527125674e-06	0.00010813183020581246	1.0581173485105762	
0.06	0.00132	3.5061293542249944e-05	5.077646880082208e-06	0.00010850142758023448	1.0636596882279012	
0.06	0.00136	3.5231481782672705e-05	5.101928463962408e-06	0.00010887300889649087	1.0692466468279465	
0.06	0.0014	3.5402972094718615e-05	5.1263906257222895e-06	0.00010924658923271437	1.0748787155371176	
0.06	0.00144	3.5575778362418875e-05	5.151035210543405e-06	0.00010962218382257057	1.080556392519095	
0.06	0.00148	3.57499146624626e-05	5.1758640878023415e-06	0.00010999980805740894	1.0862801829954574	
0.06	0.00152	3.592539526752453e-05	5.200879151460699e-06	0.00011037947748845384	1.092050599368842	
0.06	0.00156	3.610223464966232e-05	5.2260823204625385e-06	0.00011076120782903617	1.0978681613486563	
0.06	0.0016	3.6280447483784766e-05	5.251475539139486e-06	0.00011114501495686782	1.1037333960794227	
0.06	0.00164	3.646004865119253e-05	5.277060777623741e-06	0.00011153091491635758	1.1096468382718407	
0.06	0.00168	3.664105324319399e-05	5.302840032268998e-06	0.00011191892392097097	1.115609030336591	
0.06	0.00172	3.6823476564796784e-05	5.328815326079695e-06	0.00011230905835563651	1.1216205225209848	
0.06	0.00176	3.700733413847848e-05	5.354988709148542e-06	0.00011270133477919664	1.1276818730485159	
0.06	0.0018	3.719264170803669e-05	5.381362259102686e-06	0.00011309576992690599	1.1337936482613764	
0.06	0.00184	3.737941524252218e-05	5.4079380815586325e-06	0.00011349238071297912	1.1399564227660453	
0.06	0.00188	3.756767094025574e-05	5.434718310586169e-06	0.00011389118423318732	1.1461707795819747	
0.06	0.00192	3.775742523293204e-05	5.4617051091814255e-06	0.00011429219776750582	1.1524373102934984	
0.06	0.00196	3.794869478981179e-05	5.488900669749369e-06	0.00011469543878281493	1.1587566152050228	
0.06	0.002	3.814149652200504e-05	5.5163072145959065e-06	0.00011510092493565349	1.165129303499583	
0.06	0.00204	3.8335847586847474e-05	5.543926996429829e-06	0.00011550867407502809	1.1715559934008555	
0.06	0.00208	3.853176539237288e-05	5.571762298874823e-06	0.00011591870424527921	1.1780373123387111	
0.06	0.00212	3.872926760188309e-05	5.5998154369917534e-06	0.00011633103368900456	1.1845738971184099	
